Area ID,median_income,poverty_percent,median_age,percent_married,birth_rate,pct_white,avgdeathsperyear
111,51335,10.6,41.3,56.5,6.993486459,95.60940326,33
112,46840,13.2,38.9,51.6,7.724034496,81.84067293,62
113,51241,15.6,36.4,44.6,5.125073246,63.75048389,3120
114,60322,10.3,49.4,58.9,5.193753615,89.15127277,108
115,72648,10.8,33.5,56.6,6.700733537,88.13661223,55
116,47180,14,46.5,44.3,4.326923077,87.37949167,4
117,70535,9.8,43.9,64.7,2.412868633,95.80587178,4
118,67423,10.7,35.3,51.6,5.517423442,87.06275268,27
119,74347,11,37.2,54.3,11.63179916,88.44601413,7
120,45629,15.1,37.4,56.8,4.519774011,90.64304967,9
121,48576,13.7,43.2,51.1,4.62962963,85.73668622,124
122,40714,19,48.7,41.8,9.518477044,66.68856767,20
123,42881,16.8,50.8,54.4,6.302577113,85.66334311,154
124,52001,18.5,41.3,44.8,14.62113127,86.35822672,9
125,55291,8.4,54.7,53.5,1.17820324,94.24790023,7
126,52862,15.4,37.6,47,5.642578635,80.45763518,727
127,57243,13.7,39.4,44.8,5.470459519,86.56506918,23
128,45639,19.3,42.6,45.1,4.262413265,82.83653317,145
129,59831,10,46.1,54.2,4.824422651,96.38901306,151
130,57556,10.7,50.3,59.4,7.381867511,97.39650201,133
131,56008,11.8,42,48.4,4.687933426,95.68755724,156
132,42491,14.9,48.1,51.5,5.975049245,95.54753687,93
133,56353,11.6,41.9,48.5,6.078496198,93.24050548,178
134,71233,8.7,40.1,51.4,5.055576216,90.78351965,694
135,62429,9.5,42.6,51.5,3.901815696,94.9824123,309
136,79653,6.1,43.5,56.8,4.370734571,95.2281894,570
137,58577,11.8,37.2,46.8,3.681800261,93.39362832,227
138,57142,10.4,45.1,50.9,3.657874742,96.40431204,102
139,54208,15.1,40.6,45.1,4.69661296,67.14492185,584
140,84309,7.6,41.5,54.2,4.077070131,70.42738549,1722
141,80479,7.2,41,50.8,4.910516481,72.79982954,914
142,61685,13,38.3,44.7,5.434939238,63.28325501,1039
143,55409,13,48.3,53.4,5.43325019,90.84703304,314
144,45438,19.5,36.9,39.6,5.846434788,63.05218582,317
145,54603,16.7,36.9,39.1,5.084469955,41.9237275,1272
146,78983,8.2,39.6,51.7,4.878014043,81.98850836,602
147,57720,17.7,34.7,41.5,5.344239425,55.6263856,876
148,103876,4.7,45,57.7,4.22223833,91.06217822,210
149,73750,11.8,38.4,47.2,4.725836381,62.9261072,648
150,77330,8.3,37.7,51.6,5.074989438,61.04600747,1357
151,87220,8.2,42.3,53.2,4.571872443,82.60289104,1269
152,100511,5,42,56.7,3.635690867,81.55751196,884
153,62937,11.9,42.8,53.6,6.13243835,91.84420259,1607
154,58030,18.2,36.5,44.3,4.533343875,64.2678703,827
155,56645,13.1,41.8,48.7,5.98109071,80.25184275,164
156,100194,5,40.8,56.6,4.842990108,68.24146108,549
157,82048,6.2,43.4,55.9,4.625184917,93.33721647,281
158,68172,11.1,38.1,46.5,5.746896424,57.86687417,909
159,71294,8.3,42.6,54.5,4.839230894,89.1518848,227
160,47192,18.7,36.5,43.7,5.264795797,71.84702564,1031
161,33256,22.2,57.1,49.4,0.689655172,96.42757466,10
162,38403,23.4,34.8,48.1,8.496374333,79.57636261,123
163,35081,28.8,36.2,38.1,6.744769874,43.37886203,42
164,37156,20.5,47.6,48.3,5.741042345,85.49665307,30
165,42620,19.2,30.7,48.7,7.197033541,69.66552468,66
166,33789,20.6,47.3,27.6,0,80.04950495,8
167,38974,27.9,32.4,46.2,5.880465757,89.05792123,319
168,57007,14.1,36.5,50.3,9.558702453,89.60119336,107
169,38221,19.1,46.5,45.8,5.998550199,89.08959786,76
170,29147,25.8,41.6,33.7,3.558718861,84.15819708,8
171,34304,24.5,41.8,46.1,5.485232068,91.21257807,11
172,58994,16.6,31.8,53.3,7.530333184,87.31896286,99
173,39995,20.1,50.4,52.2,8.532518066,85.7006673,41
174,108477,4.2,43.5,65.5,5.543652919,86.70494453,27
175,27268,30.6,39,47.1,8.62924023,89.47517044,64
176,29497,35.8,30.8,33.5,7.322096363,16.93289008,82
177,27627,24.2,42.6,41.2,1.084812623,63.64806867,10
178,41736,20.2,35.6,49.1,8.221797323,75.95609174,122
179,29069,23.9,45.7,45,4.063068526,89.99770062,27
180,34902,24.1,40.1,41.9,3.902327704,62.51470625,71
181,36108,24,29.4,45.1,4.392712551,73.5583685,32
182,56142,12.6,469.2,49.7,5.497053425,69.97175017,188
183,47520,21,34.2,46.6,6.09617959,53.09790383,166
184,32964,25.5,42.5,33,5.744748568,56.35900656,57
185,52628,14.2,44.4,47.6,4.017424976,83.24428311,231
186,29036,23.8,55.6,47.9,8.198614319,91.39044339,47
187,32285,31,36.8,28.5,2.688172043,80.99348348,34
188,36125,19.2,46.8,42.4,4.706601467,70.61894788,62
189,37311,27.6,43.3,49.1,2.98792117,89.53510377,32
190,36684,19.4,40.3,44.5,3.536585366,79.09656603,9
191,40591,24.5,38.5,49.2,6.407674997,74.65169011,133
192,60371,13.5,37.9,40.8,3.774039071,77.04374185,637
193,42655,18.3,38.3,47.6,4.844731809,95.65633451,105
194,33687,31.5,33.2,31,5.67890152,20.9939812,2059
195,46283,17.2,39.9,43.8,4.2987606,86.90110201,442
196,43892,16.2,41.4,48.7,4.82052462,92.23297282,171
197,52792,12.7,42.5,46.8,5.470136014,92.2839857,163
198,41757,19.3,41.7,47,6.073151538,93.04615292,315
199,48880,18.2,40.9,48.3,5.089635277,88.45548166,214
200,46387,16.7,43.8,50.2,5.052412881,96.24210378,121
201,34842,20.5,46,52,6.007452513,73.33586915,155
202,38636,14.6,59,63.1,10.79136691,99.50980392,5
203,64350,10.2,44.5,58.1,3.667228197,71.82148853,88
204,75926,7.9,45.4,58.3,4.819607038,80.28525745,159
205,46331,14.8,45.9,53.7,9.290030211,68.81508584,18
206,76206,7.5,36.6,56.6,6.194544857,76.6373882,41
207,64305,8.8,40.7,58.5,6.631716907,76.52357582,32
208,45827,13.7,55.6,51.4,4.297328688,69.77266601,48
209,31429,26.6,42.8,49.8,6.208251473,93.93398397,73
210,122641,3.9,35.3,61.2,6.198748382,67.77024968,283
211,60121,11.5,43.7,55.1,5.015546843,78.38815983,77
212,37548,22.4,44.7,45.7,7.48049564,61.81716834,33
213,52513,12.3,44.6,52.2,6.25698324,85.78382901,31
214,58268,10.6,51.1,63.6,1.906898486,86.32882883,27
215,38500,21.1,47.2,44.4,4.664723032,60.57360165,109
216,48921,14.4,52.7,54.4,2.71468144,79.43454325,43
217,43484,24.8,27.5,39.1,3.135414054,86.72084754,120
218,48076,13.4,48.4,50,5.74048913,83.89419841,44
219,72406,6.2,43.1,60.6,2.628490965,81.64110429,39
220,36822,21.5,48.3,46.4,6.455750321,61.59717663,48
221,51422,14.3,55.1,61,7.278020378,70.46488947,49
222,37996,24.3,41.5,42.7,7.331771008,56.82006238,44
223,59282,10.7,42.6,54.7,2.100668394,82.58469187,82
224,44851,16.9,44.1,53.1,5.963302752,95.63393868,65
225,34885,21.9,48,53.5,2.944539737,92.20324135,52
226,44207,14.6,546,53.5,4.194566305,74.84473039,156
227,75539,7.1,43.7,57.5,5.615292712,85.04271989,52
228,37543,25.5,32.1,36.1,7.608005083,64.08218226,48
229,61792,10.5,37.1,49.7,4.855936413,59.75922953,59
230,91886,7.2,34,55,6.857756326,61.4488498,407
231,46186,14.7,45.2,53.5,6.174957118,92.09047729,91
232,62800,9.3,49.1,63.9,5.182481752,92.38325932,17
233,42204,19.7,43.7,46.6,8.755129959,66.49237958,22
234,61935,8.2,43.5,55.7,5.404491669,88.97717685,204
235,48497,13,48.3,55,6.476146578,93.75334165,58
236,55798,11.7,41.5,57,4.834403227,94.25467635,157
237,37378,17.9,43.8,54,3.255738239,97.21720659,81
238,36290,20.8,45.4,57.6,2.248441674,98.08152415,69
239,45430,12,43.8,55.6,7.406593407,93.12798427,104
240,37831,19.7,44.3,51.7,6.188734455,96.08621668,92
241,46521,15.3,45.4,48.3,5.455508475,60.91797936,43
242,75714,9.2,36.7,56,6.051314143,74.25660383,191
243,92647,5.9,34.7,57.4,4.970818505,70.13161253,160
244,48707,12.9,47.5,53.2,4.897660819,52.39630661,17
245,37748,23.9,38.5,32,3.682946357,39.0340526,30
246,38292,19.2,43.1,53.9,6.033920417,94.73672213,127
247,60714,11.3,40.4,51.2,5.544668588,90.77466802,84
248,43353,14.5,44.7,53.9,5.091597145,96.45720338,136
249,48232,15,46.6,47.6,3.666942377,67.81340776,49
250,38528,21.9,39.8,47.5,3.651138835,92.66962744,106
251,41132,15.6,43.6,53.7,2.933713923,94.99486125,71
252,81169,5.5,39.5,61.5,4.925163106,77.04863775,103
253,86419,9.6,36,44.1,6.214827502,64.09469913,165
254,34099,21.8,41.8,46.2,3.86837478,89.91097923,58
255,38331,17.2,33.8,48.1,11.88769415,90.2790279,19
256,45890,25.9,29.8,30.1,2.753790712,70.72797445,60
257,66625,9.8,36.5,52.5,5.746827092,62.28203694,378
258,52355,11.5,40,47.4,3.664122137,79.65743648,43
259,33646,23.6,41.8,38.7,3.236583838,46.20023557,130
260,125635,3.2,37.7,55.3,3.066180935,77.63751127,16
261,38583,22.5,38,34.9,4.927099045,38.85538607,25
262,51195,16.8,29.4,33.7,4.269052202,65.63971528,39
263,47615,15.2,35.4,41,4.72938218,42.82139757,270
264,38541,28.3,23.5,28.7,2.564793362,84.75714175,51
265,40122,19.5,36.9,35.3,5.969289827,52.70434041,65
266,40065,25,28.7,35.6,5.96087761,65.07075411,165
267,72510,9.8,33.3,53.3,6.93416809,71.43312962,41
268,48440,16.7,32.8,41.1,5.236698785,50.35489155,321
269,42567,23.4,30,34.1,6.373340936,47.828496,393
270,31620,21.6,39.3,43.1,3.938223938,87.52183679,9
271,32749,25.8,39.5,29.5,4.372408594,18.14898982,88
272,84213,5.9,43.8,60.3,4.361370717,94.28666059,24
273,43045,18.3,34.9,37.8,5.954956101,41.22536017,229
274,34267,32.4,22.3,25.3,1.039129729,85.29635927,21
275,42074,25,32.9,26.2,4.888983425,44.02741713,406
276,40735,20.4,38,38.7,6.673085779,64.15390536,235
277,54195,10.2,40.5,47.3,4.609250399,88.11047089,63
278,42552,16.5,42.3,43.6,3.909798832,82.77600959,64
279,60735,13.6,38.3,50.4,5.719705952,52.36238745,169
280,67676,8.6,35,50.1,5.841796248,67.74074818,688
281,44843,14.6,38.5,47.9,7.446377985,81.1536643,58
282,46954,20.1,24.6,26.2,2.181467181,74.88816592,23
283,44537,13.4,37,41.3,6.642835865,80.64266784,59
284,47423,19,28.9,56.9,9.861143799,67.56983387,21
285,44055,16.3,44.2,52.7,3.801794105,93.52994555,60
286,58750,14.6,35.5,53.5,6.253360451,80.16330503,296
287,49174,14,39.3,52.3,4.217134885,90.10192952,144
288,47185,16.2,50.1,50.5,5.956137583,88.08928547,235
289,61747,9.9,37.4,52.7,5.742215991,84.72754024,771
290,45465,15.5,49.5,52.4,5.205479452,91.75231888,14
291,44235,20.6,41.2,51.1,6.298743004,90.71312709,240
292,51151,15.5,37,58.1,4.643274854,73.33771055,70
293,39992,22.4,47.7,48.2,4.978354978,76.05854679,19
294,55006,17.3,29.1,49.2,8.388253538,69.82983006,86
295,46404,14.2,49.8,61.9,13.55498721,97.44394619,4
296,50388,15.8,32.2,52.3,6.92564347,71.19474313,149
297,43205,19.6,42.7,47.5,5.713875529,87.39131044,189
298,59358,10.3,44,59.1,6.113924051,85.0470824,165
299,50964,14.1,55.6,53.7,5.305574211,90.39324535,91
300,75738,11.3,37.2,49.5,5.202119227,68.06838157,2939
301,38989,19.9,39,45,5.803003309,71.56481625,79
302,34655,24.5,46.4,51.6,3.935222672,96.48323022,94
303,60650,10,39.7,54.7,4.540884719,93.60379689,125
304,41101,16.5,49.3,55.1,3.797949107,96.2504498,40
305,43338,14.8,46.4,54,3.887024609,94.16267161,101
306,45174,14.4,46.4,54,6.088280061,96.60156851,70
307,57088,9.8,41,52.1,5.808302127,87.12398815,229
308,50191,11.6,44.3,57.5,5.055523086,92.47380217,76
309,41787,21.5,39.6,44.6,4.863978687,74.77168565,940
310,39721,18.5,48.9,57.2,6.390328152,97.57656562,83
311,33600,20.9,48.3,46,2.773556231,90.88725986,55
312,55592,9.7,41.7,52,5.649660209,94.57884258,168
313,43509,18.5,38.9,47.1,3.748722027,91.09795119,86
314,44780,16.6,42,54,6.309693152,97.14582702,111
315,39126,18.7,32.8,44.3,5.373953975,93.61702128,67
316,41678,14.1,48,55.7,5.169018707,97.48219263,100
317,45840,20.1,31.5,38.8,4.499226458,75.50680621,435
318,48681,15.2,37.9,50,6.91088967,91.08235514,110
319,37122,19,624,52.2,4.012841091,96.14582103,93
320,35961,17.3,53.3,51.2,4.683342203,96.56730686,41
321,42431,28.3,26.3,34.9,3.814938787,88.56075507,105
322,46670,15.4,40.5,48,5.040777373,87.54624153,372
323,46283,18.9,34,44.3,4.426449927,81.6313018,454
324,40709,17.4,44.4,54.4,4.369071572,96.25652931,45
325,53342,15.3,34.8,49.2,5.98333118,81.24174818,965
326,40411,12.7,54.5,55.6,7.936507937,98.36214741,5
327,30990,29.2,51.5,46.6,4.422110553,87.45842815,42
328,51510,11.1,43.3,57.1,5.407671348,95.75225251,189
329,60622,8.9,52.4,61.4,5.887253541,92.63733235,54
330,48194,14.5,40.9,50,4.630064868,92.37831389,217
331,74341,6.1,42.1,58.9,4.426612689,96.37956347,316
332,37590,20.6,44.3,45.9,5.95959596,80.4384746,16
333,39359,15.4,50.9,54.2,3.381147541,75.31691416,31
334,54865,12.3,40.8,49.5,4.707995158,83.1942379,1809
335,37477,16.6,48.2,51.1,4.046522898,91.77535051,72
336,44735,15.4,39.1,46.4,3.31536726,93.37397532,141
337,42896,16.3,45.7,54.9,5.960854093,94.99843266,82
338,41572,23,35.7,44.2,4.303337477,93.01632757,89
339,42191,14.5,47.5,52.9,5.558035714,94.72108614,70
340,51629,11.9,40.9,57.2,5.762837089,93.6549316,160
341,40455,16.1,43,56.8,4.809286899,96.96423806,39
342,57719,10.4,41.7,54.1,6.102216567,94.60833843,325
343,41554,20.4,40,51.3,5.831775701,94.25115866,137
344,37961,15.7,54.6,51.5,3.263086336,97.05350495,37
345,42588,20,39.1,47.4,4.97414174,80.93863532,379
346,41588,21,42.4,55.8,5.713998795,94.27637469,120
347,69378,10,40.8,52.4,5.31040591,76.30367718,2231
348,41166,20.1,42.3,57.1,4.930928626,94.74246064,54
349,35968,21.4,49,54.7,6.505717916,96.80049006,62
350,35387,17.8,55.6,57,3.276955603,96.25277866,22
351,40235,20.4,42.5,51.1,4.211869815,96.5739864,60
352,33975,20.5,51.3,55.7,5.041436464,96.684036,30
353,44693,13.2,44.2,56.8,3.216430924,95.80796156,64
354,60577,9.1,34.7,56.6,5.371555803,90.07563997,384
355,39420,16.1,53.2,59.6,3.178368121,97.26931042,44
356,35002,20.7,54.4,53.8,5.928954766,96.82566063,97
357,44548,17.4,40.3,45.5,5.433100881,75.27013065,439
358,50303,13.8,42.8,53.7,4.646092865,93.62646404,382
359,43687,18.5,39.2,54,7.077326343,92.14873324,134
360,42081,14.7,44.2,53.6,5.167988801,96.63683534,102
361,39539,17.6,50,52.1,4.633204633,86.92084942,29
362,47882,15.3,41.5,54.9,5.135520685,96.79799748,157
363,43186,15.6,43.3,55.9,6.304667879,96.48842337,131
364,46715,16.5,41.3,51.1,4.666419111,87.85019442,168
365,62861,14.3,33.4,44.3,4.120270702,74.0632378,494
366,41434,24.1,37.8,38.1,5.676241281,53.34252592,3927
367,39807,19,41.7,54.3,5.24857851,96.22606943,84
368,40676,14.9,53.1,61.2,7.867412141,95.07544668,50
369,70868,7.6,37.9,54.4,6.191392604,85.6646515,497
370,51116,14.6,42.4,57.6,5.235358086,87.75725753,86
371,43706,18.5,33.3,44.2,6.561704535,74.08988863,79
372,52531,13.6,35.4,50.6,7.207014542,94.31427042,63
373,51576,16.6,39.4,46.3,4.275633043,91.46599743,169
374,55047,11.6,46.6,49.3,3.458303859,89.89629391,159
375,48357,13.8,36.1,42.2,3.084671073,94.28868544,100
376,45860,14.4,46.4,47.8,4.154951578,95.08752479,116
377,70925,10.2,41.2,48.7,3.807095815,78.50286938,569
378,50134,15.2,40.4,44.3,4.815862717,78.6541433,2183
379,50182,12,45.9,50.5,3.244249435,93.04584704,97
380,45704,18.5,39.8,45,5.8605919,82.97971919,105
381,45409,17.8,42.8,49.3,4.80729036,95.19832985,134
382,52410,12,42.7,52.8,6.002939584,92.19785395,141
383,52597,11.1,45.2,48.2,4.626911005,89.66509356,128
384,49137,11.4,51.9,42.7,4.529616725,95.25210084,17
385,44148,16.5,42.9,50.1,4.741223308,96.0271106,134
386,49781,15.1,31.8,53.5,7.816390603,86.39309945,196
387,47547,23.4,34.4,40.1,5.227447022,43.39108351,3824
388,47542,14.3,41.4,56,5.441478439,96.8035688,59
389,49920,14.7,40.1,47.2,5.026285421,93.28714063,133
390,51600,11.8,40.8,46.7,3.238819733,94.83617988,150
391,51371,14.2,38.5,44.1,4.726955479,75.95762228,1507
392,40923,18.9,41,44.5,6.043704855,88.86076458,115
393,98312,6.7,41.3,53.2,4.449778611,70.2302209,2549
394,75459,17.7,36.6,32.9,3.548717991,56.42651428,2584
395,49274,13.4,42.6,47.1,4.92078633,87.95050198,506
396,48350,17.7,41.2,44,5.551134489,85.98849108,542
397,52892,16.1,38.8,44.6,4.874120242,80.38026581,1011
398,58473,11.5,43.1,50.8,5.349606951,93.36398271,228
399,69228,13.4,36.8,49.9,5.163242125,75.09536901,628
400,46577,15.5,42.2,48.4,4.445372013,89.5081035,95
401,36891,21.9,43,39.8,7.282913165,63.41120675,15
402,54026,12.7,39.9,53.7,4.754928419,81.45469085,313
403,38130,23.5,36.8,45.1,3.120443278,83.30638048,84
404,50055,15.3,37.4,53.5,5.25474016,78.44850781,288
405,38928,22.2,45.2,51.6,5.365126677,65.09935078,30
406,46073,18.5,37.5,49.2,5.257747099,69.20293514,119
407,35991,22.1,42.1,44,6.174096999,55.20397401,150
408,49676,16,42,57.7,4.703203954,89.26713413,147
409,37881,17.6,43.1,50,5.517241379,90.53846667,107
410,37884,18.1,49,58.1,5.212083268,92.19316607,93
411,38445,19.9,44,54.3,4.341957255,95.76259095,42
412,35930,19.7,46,47.2,3.58004827,53.33558093,61
413,59049,15.2,34.5,45.3,5.350191695,56.67573474,1216
414,36795,19.2,46.7,55.7,3.813691779,96.59491194,45
415,38530,21.1,41.1,48.8,5.65466173,77.21459367,54
416,51650,15.5,45.1,55.8,3.694753236,82.80413765,240
417,43348,18.2,41,45.3,6.201122458,54.39918921,215
418,49905,18,37.8,45.8,4.936553568,81.05175723,387
419,32063,25.8,47.1,38.6,2.454590083,39.95526153,61
420,47201,14.3,26.1,54.5,9.215177413,74.33184764,206
421,60304,14.1,33.3,45.2,4.202796852,74.98196821,183
422,43097,17.9,49.8,55.1,5.096660808,75.19642582,33
423,44596,18.8,37.4,47.1,5.029990529,58.6211205,93
424,45453,15.4,42.1,51.7,3.014449427,76.27705471,112
425,41328,17.1,47.8,56.7,7.827059262,73.02563343,33
426,45841,18.7,508.8,47.6,6.140350877,68.76623707,98
427,41765,23.4,31.5,39.6,4.079871327,58.67961657,255
428,45464,14.7,50.9,56.1,4.746227709,91.42519801,58
429,41770,16.7,40.5,52.9,5.037284569,87.470675,293
430,34665,24.7,39.9,43.4,4.202401372,62.7090301,113
431,30414,33.1,35.2,39.2,5.971635486,30.07614684,253
432,39606,19.4,43.6,49.1,5.072603135,75.51029252,237
433,44973,18,40.3,49.1,4.889016456,78.11738857,315
434,35629,21.5,43.3,50.4,5.963398511,85.35108054,163
435,33876,29,39.2,45.3,5.0513461,61.23401124,136
436,32782,28.9,39.1,38.9,6.79431748,46.05365691,80
437,41921,16.5,41.8,51.5,4.858604091,84.89254943,138
438,45065,13.8,44.7,56,4.962317706,93.13988127,114
439,37915,18.9,42.7,54.4,4.712239256,92.32198989,196
440,34788,19.3,40.7,49.5,5.56091289,64.63319918,39
441,44490,16.2,50.1,57.1,4.726613966,90.33041788,85
442,32773,28.3,44.4,42.5,7.088989442,59.89884393,13
443,64381,10.8,37.2,59.4,5.847110572,81.04412853,273
444,33609,27,40,37.7,6.678752027,43.62800866,106
445,66950,11.5,35.3,51.6,4.983090176,67.64519953,1126
446,33869,22.8,46.1,41.7,4.839989421,39.27105726,57
447,32867,26.8,45.1,45.2,3.122648608,46.71613514,33
448,41942,26.2,29.5,38.9,2.832748693,94.14816233,69
449,36890,23.3,36.7,45.5,5.691592675,57.2691086,258
450,33398,23.4,43.7,55.6,3.78540305,91.2134134,173
451,39268,23.9,39.9,44.8,4.940815895,50.86846202,193
452,40801,17.2,42.9,53.1,6.549178376,91.39343183,89
453,35974,20.6,46.2,59.5,3.944716384,96.52919791,49
454,45710,10.2,47.6,66.7,4.047619048,93.25074754,6
455,52376,10.3,42.8,58,8.043956044,94.51203028,31
456,39342,29.9,31,41.4,9.492753623,42.71415955,12
457,56965,9.7,46,60.2,4.568106312,93.95538137,19
